TIME_PERIOD;OBS_VALUE
1997-01;85.41
1997-02;85.61
1997-03;85.68
1997-04;85.63
1997-05;85.86
1997-06;85.89
1997-07;85.98
1997-08;86.12
1997-09;86.18
1997-10;86.21
1997-11;86.31
1997-12;86.40
1998-01;86.34
1998-02;86.57
1998-03;86.64
1998-04;86.82
1998-05;86.99
1998-06;87.04
1998-07;87.07
1998-08;87.10
1998-09;87.03
1998-10;87.01
1998-11;87.01
1998-12;87.05
1999-01;86.99
1999-02;87.21
1999-03;87.46
1999-04;87.74
1999-05;87.81
1999-06;87.81
1999-07;87.96
1999-08;88.06
1999-09;88.11
1999-10;88.15
1999-11;88.26
1999-12;88.57
2000-01;88.61
2000-02;88.89
2000-03;89.17
2000-04;89.24
2000-05;89.36
2000-06;89.68
2000-07;89.80
2000-08;89.87
2000-09;90.23
2000-10;90.25
2000-11;90.43
2000-12;90.77
2001-01;90.38
2001-02;90.65
2001-03;91.13
2001-04;91.68
2001-05;92.11
2001-06;92.24
2001-07;92.03
2001-08;91.95
2001-09;92.21
2001-10;92.28
2001-11;92.22
2001-12;92.64
2002-01;92.74
2002-02;92.89
2002-03;93.42
2002-04;93.84
2002-05;94.01
2002-06;93.96
2002-07;93.87
2002-08;93.93
2002-09;94.17
2002-10;94.39
2002-11;94.32
2002-12;94.78
2003-01;94.70
2003-02;95.08
2003-03;95.63
2003-04;95.78
2003-05;95.71
2003-06;95.83
2003-07;95.69
2003-08;95.83
2003-09;96.17
2003-10;96.31
2003-11;96.35
2003-12;96.65
2004-01;96.41
2004-02;96.64
2004-03;97.25
2004-04;97.75
2004-05;98.05
2004-06;98.10
2004-07;97.89
2004-08;98.09
2004-09;98.20
2004-10;98.58
2004-11;98.51
2004-12;98.89
2005-01;98.27
2005-02;98.63
2005-03;99.36
2005-04;99.78
2005-05;99.99
2005-06;100.10
2005-07;99.99
2005-08;100.23
2005-09;100.75
2005-10;101.00
2005-11;100.78
2005-12;101.12
2006-01;100.66
2006-02;100.95
2006-03;101.53
2006-04;102.20
2006-05;102.48
2006-06;102.56
2006-07;102.43
2006-08;102.52
2006-09;102.53
2006-10;102.61
2006-11;102.64
2006-12;103.04
2007-01;102.51
2007-02;102.81
2007-03;103.50
2007-04;104.15
2007-05;104.40
2007-06;104.50
2007-07;104.25
2007-08;104.31
2007-09;104.71
2007-10;105.22
2007-11;105.78
2007-12;106.20
2008-01;105.80
2008-02;106.17
2008-03;107.21
2008-04;107.56
2008-05;108.23
2008-06;108.64
2008-07;108.48
2008-08;108.32
2008-09;108.52
2008-10;108.55
2008-11;108.02
2008-12;107.88
2009-01;106.98
2009-02;107.42
2009-03;107.82
2009-04;108.21
2009-05;108.27
2009-06;108.49
2009-07;107.77
2009-08;108.14
2009-09;108.16
2009-10;108.41
2009-11;108.54
2009-12;108.88
2010-01;107.99
